# mpu9150 IMU data started at: 14:21:50 2013-05-13
# mpu9150 IMU raw data
# timestamp,ax,ay,az,gx,gy,gz,C
1368480110.753281,65466,65478,4022,20,19,65497,23.05
1368480110.755323,65466,65481,4032,28,24,65498,23.09
1368480110.757483,65451,65502,4015,16,27,65496,23.14
1368480110.759586,65467,65481,4014,21,26,65497,23.19
1368480110.761717,65457,65478,4030,24,17,65520,23.14
1368480110.766116,65445,65472,4023,21,19,65480,23.19
1368480110.766414,65450,65497,4026,20,25,65504,23.24
1368480110.768106,65457,65497,4001,28,22,65489,23.19
1368480110.770316,65458,65481,4025,24,65533,65494,23.14
1368480110.772316,65482,65484,4009,10,21,65487,23.00
1368480110.774498,65471,65498,4010,38,17,65502,23.14
1368480110.776623,65459,65479,4022,32,11,65491,23.09
1368480110.778755,65451,65498,4050,33,11,65494,23.14
1368480110.781019,65481,65503,4025,24,11,65520,23.00
1368480110.783028,65459,65508,3996,29,21,65491,23.14
1368480110.785118,65440,65490,4028,28,4,65509,23.09
1368480110.787329,65464,65485,3983,25,21,65491,23.14
1368480110.789391,65470,65457,3996,34,11,65510,23.09
1368480110.791518,65470,65476,4034,19,12,65493,23.14
1368480110.793664,65456,65475,4021,19,13,65510,23.09
1368480110.795949,65463,65475,4048,22,10,65507,23.24
1368480110.797929,65468,65476,4043,26,13,65501,23.19
1368480110.800075,65456,65495,4005,16,32,65509,23.14
1368480110.802174,65439,65489,4036,18,14,65492,23.09
1368480110.804346,65458,65479,4030,25,13,65514,23.14
1368480110.806429,65454,65492,4061,35,20,65496,23.19
1368480110.808562,65462,65484,4043,26,36,65510,23.14
1368480110.810688,65471,65494,3982,16,46,65482,23.19
1368480110.812868,65455,65466,4040,20,15,65521,23.14
1368480110.814945,65449,65487,3996,32,24,65498,23.19
1368480110.817063,65429,65479,4030,29,8,65498,23.14
1368480110.819197,65438,65476,4036,28,25,65501,23.19
1368480110.822246,65441,65476,4039,32,17,65494,23.14
1368480110.823654,65460,65477,4058,28,25,65511,23.09
1368480110.825541,65432,65474,4022,21,19,65490,23.14
1368480110.827648,65471,65509,4049,26,22,65526,23.19
1368480110.829825,65477,65477,4051,25,19,65491,23.14
1368480110.831920,65456,65506,4054,30,13,65510,23.09
1368480110.834053,65481,65499,4016,34,19,65500,23.14
1368480110.836157,65457,65479,4018,28,18,65523,23.19
1368480110.838335,65441,65504,4021,18,12,65493,23.14
1368480110.840418,65467,65473,4031,25,31,65516,23.19
1368480110.842545,65465,65443,4011,26,25,65496,23.14
1368480110.844668,65452,65491,4014,27,37,65524,23.19
1368480110.846782,65475,65507,4049,24,18,65489,23.14
1368480110.849028,65449,65485,4006,44,22,65482,23.09
1368480110.851260,65468,65483,4034,14,35,65511,23.14
1368480110.853291,65467,65485,4026,22,11,65485,23.19
1368480110.855424,65465,65491,4051,25,5,65502,23.14
1368480110.857536,65477,65472,4058,34,24,65487,23.19
1368480110.859680,65451,65469,4028,43,26,65512,23.05
1368480110.861822,65459,65461,4023,21,17,65496,23.09
1368480110.863918,65447,65482,4024,18,24,65504,23.14
1368480110.866075,65454,65495,4053,28,24,65504,23.09
1368480110.868198,65466,65478,4031,31,25,65501,23.05
1368480110.870298,65483,65459,4032,17,9,65505,23.19
1368480110.872419,65433,65482,4034,29,18,65496,23.14
1368480110.874558,65470,65468,4026,22,23,65518,23.19
1368480110.876673,65452,65495,4042,41,26,65494,23.14
1368480110.878855,65450,65493,4019,19,26,65510,23.19
1368480110.880931,65467,65475,4032,25,8,65497,23.14
1368480110.883063,65443,65481,4022,28,17,65507,23.09
1368480110.885166,65455,65470,4043,39,17,65504,23.14
1368480110.887255,65488,65480,4059,26,26,65499,23.09
1368480110.889432,65466,65489,4026,14,17,65496,23.14
1368480110.891509,65427,65492,4048,30,20,65492,23.19
1368480110.893637,65483,65489,4049,35,18,65508,23.14
1368480110.895766,65491,65476,4029,26,35,65495,23.09
1368480110.897902,65452,65514,4043,25,12,65498,23.14
1368480110.900025,65486,65487,3986,24,34,65492,23.09
1368480110.902152,65478,65467,4023,22,20,65519,23.14
1368480110.904279,65457,65495,4030,29,22,65498,23.19
1368480110.906443,65459,65490,4031,14,18,65505,23.14
1368480110.908614,65453,65463,4032,25,25,65497,23.09
1368480110.910813,65460,65491,4013,25,24,65496,23.14
1368480110.912897,65468,65504,4022,28,10,65512,23.09
1368480110.915008,65465,65476,4017,20,18,65493,23.14
1368480110.917115,65456,65478,4042,22,20,65504,23.09
1368480110.919286,65474,65487,4039,26,25,65483,23.14
1368480110.921390,65471,65478,4038,27,8,65510,23.09
1368480110.923567,65448,65468,4037,17,9,65483,23.14
1368480110.925645,65463,65497,4010,32,28,65496,23.09
1368480110.927780,65450,65522,4075,24,32,65493,23.05
1368480110.929905,65473,65526,4065,10,17,65498,23.19
1368480110.932057,65467,65465,4002,22,9,65501,23.05
1368480110.934157,65461,65489,4047,22,28,65486,23.09
1368480110.936290,65468,65484,4043,22,22,65521,23.14
1368480110.940037,65448,65470,3984,32,8,65496,23.19
1368480110.940612,65467,65482,4039,18,22,65507,23.14
1368480110.942672,65437,65495,4026,41,16,65485,23.19
1368480110.944782,65430,65493,4067,27,16,65508,23.14
1368480110.946853,65470,65472,4022,31,10,65487,23.19
1368480110.949002,65452,65471,4021,26,24,65499,23.14
1368480110.951118,65463,65506,4001,24,13,65499,23.19
1368480110.953234,65484,65481,4013,25,23,65507,23.24
1368480110.955389,65434,65501,4020,9,8,65508,23.19
1368480110.957549,65458,65495,4055,28,23,65488,23.05
1368480110.959646,65455,65496,4069,42,23,65498,23.09
1368480110.961761,65444,65494,4029,19,21,65497,23.05
1368480110.963907,65445,65489,4005,24,20,65499,23.09
1368480110.966015,65469,65486,4028,33,17,65488,23.14
1368480110.968293,65478,65507,3988,23,9,65505,23.19
1368480110.970125,65459,65477,4042,31,23,65489,23.14
1368480110.972436,65452,65503,4057,26,14,65496,23.09
1368480110.974528,65458,65481,4029,20,7,65505,23.05
1368480110.976663,65463,65495,4021,35,13,65509,23.09
1368480110.978778,65468,65474,4045,27,37,65509,23.14
1368480110.980933,65454,65487,4010,26,23,65486,23.09
1368480110.983055,65454,65485,4026,24,21,65509,23.24
1368480110.985178,65460,65507,4031,18,18,65491,23.09
1368480110.987315,65462,65476,4005,21,25,65514,23.14
1368480110.989444,65469,65497,4034,24,20,65493,23.19
1368480110.991639,65449,65475,3989,21,42,65498,23.14
1368480110.993779,65472,65488,4027,34,17,65485,23.09
1368480110.995907,65448,65504,4060,32,20,65495,23.14
1368480110.998021,65457,65497,4047,20,11,65509,23.19
1368480111.000167,65452,65465,4039,19,11,65487,23.14
1368480111.002298,65456,65473,4035,28,20,65514,23.09
1368480111.004351,65441,65475,4021,29,13,65488,23.05
1368480111.006497,65448,65488,4015,20,11,65506,23.19
1368480111.008640,65455,65470,4012,10,17,65488,23.14
1368480111.010730,65463,65458,4021,18,27,65507,23.09
1368480111.012841,65470,65487,4056,28,19,65490,23.05
1368480111.014994,65489,65483,4013,26,11,65512,23.09
1368480111.017112,65463,65489,4039,22,25,65486,23.24
1368480111.019240,65479,65487,4020,35,18,65497,23.09
1368480111.021369,65468,65492,4038,18,27,65497,23.24
1368480111.023499,65454,65486,4053,25,15,65497,23.28
1368480111.025673,65484,65501,4027,33,14,65503,23.24
1368480111.027760,65475,65486,4001,12,25,65487,23.19
1368480111.029879,65480,65490,4046,35,20,65500,23.05
1368480111.032044,65461,65481,4015,27,21,65498,23.19
1368480111.034140,65457,65504,4030,29,6,65503,23.14
1368480111.036270,65463,65466,4077,29,37,65487,23.09
1368480111.038396,65438,65489,4032,25,8,65512,23.14
1368480111.040516,65450,65494,4017,19,27,65497,23.19
1368480111.042700,65451,65480,4032,22,23,65515,23.05
1368480111.044791,65453,65489,4055,28,28,65499,23.19
1368480111.046937,65469,65511,4038,38,18,65500,23.14
1368480111.049042,65460,65485,4017,32,14,65506,23.09
1368480111.051173,65452,65482,4026,16,22,65477,23.14
1368480111.053354,65456,65456,4024,21,15,65511,23.28
1368480111.055432,65497,65504,4020,30,19,65491,23.05
1368480111.057545,65463,65484,4035,28,29,65505,23.19
1368480111.059853,65435,65470,4035,23,4,65505,23.14
1368480111.061895,65449,65489,4040,26,17,65502,23.19
1368480111.064044,65446,65488,4029,45,28,65504,23.14
1368480111.066152,65466,65467,3990,24,10,65494,23.19
1368480111.068276,65462,65502,3997,31,17,65516,23.14
1368480111.070411,65463,65468,4026,28,17,65484,23.19
